expiry,entry,spot,atm_straddle_pts,straddle_chg_30m_pct,pcr,put_wall,call_wall,put_wall_dist_pts,call_wall_dist_pts,coverage_ratio,pin_share,oi_std_pts,d_pcr_1d,put_wall_migration_pts,call_wall_migration_pts,condor_pnl,condor_worst,condor_kp,condor_kc,fly_pnl,fly_worst,strangle_pnl,strangle_worst,straddle_pnl,straddle_worst,best_structure
2026-07-21,2026-07-17,24221.75,256.2,-0.19,0.928,24200.0,24500.0,22.0,278.0,0.11,0.157,250.0,0.195,100.0,300.0,1023.0,-921.0,24200.0,24500.0,-111.0,-852.0,6586.0,-356.0,6540.0,-3350.0,strangle
2026-07-21,2026-07-20,24187.1,180.6,-4.12,0.847,24000.0,24200.0,187.0,13.0,0.09,0.157,233.0,-0.081,-200.0,-300.0,-1184.0,-1311.0,24000.0,24200.0,-426.0,-693.0,-1036.0,-2030.0,1623.0,-340.0,straddle
2026-07-28,2026-07-22,24015.05,322.8,1.48,0.63,24000.0,24200.0,15.0,185.0,0.06,0.158,230.0,,,,3005.0,-1554.0,24000.0,24200.0,4257.0,-956.0,14187.0,-9885.0,19690.0,-6161.0,straddle
2026-07-28,2026-07-23,23940.9,266.5,-4.5,0.997,23900.0,24000.0,41.0,59.0,0.19,0.157,252.0,0.367,-100.0,-200.0,4182.0,-1324.0,23900.0,24000.0,2729.0,-982.0,13918.0,-7461.0,14688.0,-7480.0,straddle
2026-07-28,2026-07-24,23644.55,263.6,2.51,0.9,23500.0,24000.0,145.0,355.0,0.69,0.114,255.0,-0.097,-400.0,0.0,1569.0,-1762.0,23500.0,24000.0,-1515.0,-1779.0,5842.0,-1049.0,-5007.0,-9368.0,strangle
2026-07-28,2026-07-27,23928.75,152.3,-4.03,0.755,23900.0,24000.0,29.0,71.0,0.24,0.135,235.0,-0.145,400.0,0.0,3022.0,-810.0,23900.0,24000.0,2066.0,-751.0,6690.0,-841.0,7262.0,-857.0,straddle
2026-08-04,2026-07-29,24197.95,273.4,-1.6,0.783,24000.0,24200.0,198.0,2.0,0.01,0.172,251.0,,,,-2685.0,-15887.0,24000.0,24200.0,-1454.0,-14655.0,-14032.0,-24393.0,-9538.0,-19898.0,fly
2026-08-04,2026-07-30,24272.85,232.1,-2.36,0.87,24200.0,24700.0,73.0,427.0,0.39,0.149,259.0,0.087,200.0,500.0,1676.0,-1064.0,24200.0,24700.0,-1554.0,-1922.0,6092.0,-1624.0,-8969.0,-10304.0,strangle
2026-08-04,2026-07-31,24351.9,193.0,-2.82,0.804,24000.0,24400.0,352.0,48.0,0.31,0.115,233.0,-0.066,-200.0,-300.0,-4460.0,-4482.0,24000.0,24400.0,-1726.0,-1726.0,-8680.0,-9980.0,-5014.0,-6401.0,fly
2026-08-04,2026-08-03,24570.35,129.2,-0.39,0.788,24500.0,24600.0,70.0,30.0,0.29,0.138,223.0,-0.016,500.0,200.0,1647.0,-1177.0,24500.0,24600.0,-92.0,-1174.0,4275.0,-831.0,3839.0,-867.0,strangle
2026-08-11,2026-07-30,24272.85,377.2,-1.57,0.698,24200.0,24800.0,73.0,527.0,0.24,0.201,277.0,,,,1189.0,-1067.0,24200.0,24800.0,-690.0,-3524.0,5429.0,-1416.0,-278.0,-5430.0,strangle
2026-08-11,2026-07-31,24351.9,348.5,-0.07,0.658,24200.0,24800.0,152.0,448.0,0.54,0.164,278.0,-0.04,0.0,0.0,-127.0,-732.0,24200.0,24800.0,-599.0,-1021.0,2718.0,-564.0,1051.0,-3064.0,strangle
2026-08-11,2026-08-03,24570.35,300.8,-0.45,0.484,24400.0,25000.0,170.0,430.0,0.71,0.122,281.0,-0.174,200.0,200.0,-1067.0,-1454.0,24400.0,25000.0,-530.0,-803.0,-1442.0,-3489.0,96.0,-1633.0,straddle
2026-08-11,2026-08-04,24629.7,276.1,-2.18,0.798,24600.0,25000.0,30.0,370.0,0.13,0.136,277.0,0.314,200.0,0.0,-1385.0,-1694.0,24600.0,25000.0,-856.0,-943.0,-4429.0,-7370.0,-2703.0,-4975.0,fly
