expiry,entry_date,rank,structure,mgmt,spot_entry,atm_strike,put_wall,call_wall,legs,short_put,short_call,wing_width,credit_pts,credit_inr,max_loss_inr,nights_held,first_breach_ts,first_breach_side,overlay_trigger_ts,overlay_trigger_side,overlay_trigger_spot,settle_spot,settle_debit_pts,costs_inr,worst_mark_inr,pnl_inr
2026-07-14,2026-07-10,T-2,condor,hold,24220.8,24200.0,24200.0,24500.0,SC24500@22.25 LC24600@10.9 SP24200@109.6 LP24100@71.15,24200.0,24500.0,100,49.8,3237,3263,2,07-10T05:00,P,,,,24052.0,100.0,680,-4050,-3943
2026-07-14,2026-07-10,T-2,condor,overlay,24220.8,24200.0,24200.0,24500.0,SC24500@22.25 LC24600@10.9 SP24200@109.6 LP24100@71.15,24200.0,24500.0,100,49.8,3237,3263,2,07-10T05:00,P,07-13T04:30,P,24125,24052.0,100.0,850,-9235,603
2026-07-14,2026-07-10,T-2,fly,hold,24220.8,24200.0,24200.0,24500.0,SC24200@125.6 SP24200@109.6 LC24300@77.1 LP24100@71.15,24200.0,24200.0,100,86.9,5652,848,2,07-10T04:31,C,,,,24052.0,100.0,680,-1619,-1528
2026-07-14,2026-07-10,T-2,fly,overlay,24220.8,24200.0,24200.0,24500.0,SC24200@125.6 SP24200@109.6 LC24300@77.1 LP24100@71.15,24200.0,24200.0,100,86.9,5652,848,2,07-10T04:31,C,07-13T04:30,P,24125,24052.0,100.0,850,-8982,3017
2026-07-14,2026-07-10,T-2,strangle,hold,24220.8,24200.0,24200.0,24500.0,SC24500@22.25 SP24200@109.6,24200.0,24500.0,,131.8,8570,,2,07-10T05:00,P,,,,24052.0,148.0,340,-6401,-1387
2026-07-14,2026-07-10,T-2,strangle,overlay,24220.8,24200.0,24200.0,24500.0,SC24500@22.25 SP24200@109.6,24200.0,24500.0,,131.8,8570,,2,07-10T05:00,P,07-13T04:30,P,24125,24052.0,148.0,510,-6610,3159
2026-07-14,2026-07-10,T-2,straddle,hold,24220.8,24200.0,24200.0,24500.0,SC24200@125.6 SP24200@109.6,24200.0,24200.0,,235.2,15288,,2,07-10T04:31,C,,,,24052.0,148.0,340,-841,5331
2026-07-14,2026-07-10,T-2,straddle,overlay,24220.8,24200.0,24200.0,24500.0,SC24200@125.6 SP24200@109.6,24200.0,24200.0,,235.2,15288,,2,07-10T04:31,C,07-13T04:30,P,24125,24052.0,148.0,510,-6974,9877
2026-07-14,2026-07-13,T-1,condor,hold,24124.6,24100.0,24000.0,24500.0,SC24500@6.4 LC24600@0.0 SP24000@55.5 LP23900@30.9,24000.0,24500.0,100,31.0,2015,4485,1,,,,,,24052.0,0.0,680,-742,1335
2026-07-14,2026-07-13,T-1,condor,overlay,24124.6,24100.0,24000.0,24500.0,SC24500@6.4 LC24600@0.0 SP24000@55.5 LP23900@30.9,24000.0,24500.0,100,31.0,2015,4485,1,,,,,,24052.0,0.0,680,-742,1335
2026-07-14,2026-07-13,T-1,fly,hold,24124.6,24100.0,24000.0,24500.0,SC24100@94.9 SP24100@94.65 LC24200@51.9 LP24000@55.5,24100.0,24100.0,100,82.2,5340,1160,1,07-13T04:31,C,,,,24052.0,48.0,680,-1141,1543
