expiry,entry,rank,index_level,atm_strike,put_wall,call_wall,straddle_strikes,straddle_credit_inr,straddle_pnl_inr,straddle_worst_inr,strangle_strikes,strangle_credit_inr,strangle_pnl_inr,strangle_worst_inr,fly_strikes,fly_credit_inr,fly_pnl_inr,fly_worst_inr,condor_strikes,condor_credit_inr,condor_pnl_inr,condor_worst_inr
2026-07-21,2026-07-17,T-2,24221.8,24200.0,24200.0,24500.0,SC24200@121.85 SP24200@134.35,16653,13810,-3350,SC24500@24.1 SP24200@134.35,10299,9959,-356,SC24200@121.85 SP24200@134.35 LC24300@76.8 LP24100@92.2,5668,2485,-852,SC24500@24.1 LC24600@12.45 SP24200@134.35 LP24100@92.2,3497,2817,-921
2026-07-21,2026-07-20,T-1,24187.1,24200.0,24000.0,24200.0,SC24200@72.95 SP24200@107.6,11736,8893,-291,SC24200@72.95 SP24000@31.55,6792,3950,-2030,SC24200@72.95 SP24200@107.6 LC24300@37.5 LP24100@60.7,5353,2170,-693,SC24200@72.95 LC24300@37.5 SP24000@31.55 LP23900@15.55,3344,162,-1311
2026-07-28,2026-07-22,T-4,24015.0,24000.0,24000.0,24200.0,SC24000@167.5 SP24000@155.3,20982,19690,-6161,SC24200@82.85 SP24000@155.3,15480,14187,-9885,SC24000@167.5 SP24000@155.3 LC24100@120.25 LP23900@111.95,5889,4257,-956,SC24200@82.85 LC24300@54.85 SP24000@155.3 LP23900@111.95,4638,3005,-1554
2026-07-28,2026-07-23,T-3,23940.9,23950.0,23900.0,24000.0,SC23950@131.45 SP23950@135.1,17326,14688,-7480,SC24000@107.8 SP23900@111.55,14258,13918,-7461,SC23950@131.45 SP23950@135.1 LC24050@87.3 LP23850@91.45,5707,2729,-982,SC24000@107.8 LC24100@70.35 SP23900@111.55 LP23800@74.2,4862,4182,-1324
2026-07-28,2026-07-24,T-2,23644.5,23650.0,23500.0,24000.0,SC23650@142.6 SP23650@120.95,17131,-5007,-9368,SC24000@29.15 SP23500@65.95,6182,5842,-1049,SC23650@142.6 SP23650@120.95 LC23750@94.9 LP23550@81.5,5665,-1515,-1779,SC24000@29.15 LC24100@17.9 SP23500@65.95 LP23400@42.6,2249,1569,-1762
2026-07-28,2026-07-27,T-1,23928.8,23950.0,23900.0,24000.0,SC23950@71.8 SP23950@80.5,9900,7262,-857,SC24000@49.8 SP23900@58.35,7030,6690,-841,SC23950@71.8 SP23950@80.5 LC24050@33.0 LP23850@41.7,5044,2066,-751,SC24000@49.8 LC24100@21.6 SP23900@58.35 LP23800@29.6,3702,3022,-810
2026-08-04,2026-07-29,T-4,24198.0,24200.0,24000.0,24200.0,SC24200@141.15 SP24200@132.25,17771,-19898,-19898,SC24200@141.15 SP24000@63.1,13276,-24393,-24393,SC24200@141.15 SP24200@132.25 LC24300@92.9 LP24100@92.4,5726,-1454,-14655,SC24200@141.15 LC24300@92.9 SP24000@63.1 LP23900@42.2,4495,-2685,-15887
2026-08-04,2026-07-30,T-3,24272.8,24250.0,24200.0,24700.0,SC24250@117.8 SP24250@114.35,15090,-19330,-8930,SC24700@6.05 SP24200@92.9,6432,1262,-1624,SC24250@117.8 SP24250@114.35 LC24350@70.9 LP24150@74.7,5626,-1554,-1922,SC24700@6.05 LC24800@3.5 SP24200@92.9 LP24100@59.2,2356,-3153,-1064
2026-08-04,2026-07-31,T-2,24351.9,24350.0,24000.0,24400.0,SC24350@95.15 SP24350@97.85,12545,-15374,-5410,SC24400@70.5 SP24000@16.1,5629,-19040,-8683,SC24350@95.15 SP24350@97.85 LC24450@50.2 LP24250@58.9,5454,-1726,-1492,SC24400@70.5 LC24500@34.65 SP24000@16.1 LP23900@10.1,2720,-4460,-3654
2026-08-04,2026-08-03,T-1,24570.3,24550.0,24500.0,24600.0,SC24550@77.2 SP24550@52.0,8398,-6521,-867,SC24600@50.95 SP24500@34.95,5584,-6086,-831,SC24550@77.2 SP24550@52.0 LC24650@32.05 LP24450@23.2,4807,-2373,-829,SC24600@50.95 LC24700@19.3 SP24500@34.95 LP24400@15.9,3296,-3884,-894
